,encrypted_customerID,total_units,total_revenue,total_units_ttm,total_revenue_ttm,adj_units_yearly_ever,adj_revenue_yearlu_ever,adj_units_yearly_before_ttm,adj_revenue_yearly_before_ttm,which_promo,engagement,what_content_age,what_content_type,asp_ever,asp_ttm,arpu_monthly_ever,arpu_monthly_ttm,frequency_days_ever,frequency_days_ttm,hidden_class,tenure_months,target
466,A1A2OFYJADNFA3,1,3.35,0,0.0,0,1.29,0,1.29,non_promo_user,one_time,exclusively_CAT,exclusively_movie_est,3.35,0.0,0.1,0.0,0,0,inept,31.0,0
467,A25P8SP2PEEA0K,8,24.27,2,7.53,1,5.82,1,4.01,non_promo_user,moderate,exclusively_CAT,predominantly_movie_est,3.03,3.76,0.48,0.62,212,26,inept,50.0,1
468,A3LDHAI6XZRJ2C,3,9.21,1,4.19,2,7.89,1,4.3,non_promo_user,one_time,predominantly_NR,exclusively_movie_vod,3.07,4.19,0.65,0.34,29,0,inept,14.0,0
469,AY3J7X6AS8AAL,1,2.51,1,2.51,6,15.06,0,0.0,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,2.51,2.51,1.25,1.25,0,0,inept,2.0,1
470,A2EUDLYP4WF45X,2,6.7,2,6.7,3,13.39,0,0.0,non_promo_user,moderate,exclusively_CAT,exclusively_movie_vod,3.35,3.35,1.11,1.11,30,30,inept,6.0,1
471,A2M5K8E3I44VF0,73,458.78,19,117.41,17,107.94,12,80.32,non_promo_user,engaged,predominantly_CAT,predominantly_movie_est,6.28,6.17,8.99,9.78,21,19,benevolent,51.0,1
472,A281NRU44RBI46,20,157.78,5,36.92,3,25.93,2,19.86,non_promo_user,moderate,exclusively_CAT,predominantly_movie_vod,7.88,7.38,2.16,3.07,110,61,inept,73.0,1
473,A3OFWEY4KQ09EY,1,3.35,0,0.0,0,0.77,0,0.77,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,3.35,0.0,0.06,0.0,0,0,inept,52.0,0
474,A25ZRP3KTXD8EK,7,27.65,2,8.38,3,15.79,2,11.01,non_promo_user,moderate,predominantly_NR,predominantly_movie_est,3.95,4.19,1.31,0.69,103,53,inept,21.0,1
475,A2Z6AL3WECFSQ3,1,16.79,1,16.79,3,50.37,0,0.0,non_promo_user,one_time,exclusively_CAT,exclusively_tv,16.79,16.79,4.19,4.19,0,0,inept,4.0,1
476,A3CRT13PCFHT2K,15,55.29,1,0.83,2,9.34,2,9.2,exclusively_pmd,one_time,exclusively_CAT,exclusively_movie_vod,3.68,0.83,0.77,0.06,132,0,benevolent,71.0,0
477,A2YQCO8O14ACN9,1,2.51,1,2.51,2,6.02,0,0.0,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,2.51,2.51,0.5,0.5,0,0,inept,5.0,1
478,A2QHBDP1T6PLAB,177,955.39,7,49.51,34,184.91,32,175.33,non_promo_user,moderate,predominantly_NR,predominantly_tv,5.39,7.07,15.4,4.12,10,58,hidden_committed,62.0,1
479,A303V2YDTFUTA7,35,148.06,10,62.11,7,30.11,5,17.48,non_promo_user,moderate,predominantly_NR,predominantly_tv,4.23,6.21,2.5,5.17,51,33,benevolent,59.0,1
480,A1NQY3EVSAEBR7,2,9.22,0,0.0,0,3.35,0,3.35,non_promo_user,moderate,exclusively_CAT,predominantly_movie_est,4.61,0.0,0.27,0.0,67,0,inept,33.0,0
481,AGJBJTO69WTBK,22,106.48,1,0.83,4,21.65,4,21.48,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,4.84,0.83,1.8,0.06,69,0,hidden_committed,59.0,0
482,A27B0N6OMJF1LB,1,4.19,0,0.0,0,3.35,0,3.35,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,4.19,0.0,0.27,0.0,0,0,inept,15.0,0
483,A26W6MO7767VDG,19,100.62,0,0.0,8,43.12,8,43.12,engaged_vendisto_promo,engaged,predominantly_CAT,predominantly_movie_vod,5.29,0.0,3.59,0.0,23,0,hidden_committed,28.0,0
484,A2Q7K1ORIDW5BD,12,43.56,1,4.19,3,13.4,3,12.11,non_promo_user,one_time,predominantly_NR,exclusively_movie_vod,3.63,4.19,1.11,0.34,96,0,hidden_committed,39.0,1
