,encrypted_customerID,total_units,total_revenue,total_units_ttm,total_revenue_ttm,adj_units_yearly_ever,adj_revenue_yearlu_ever,adj_units_yearly_before_ttm,adj_revenue_yearly_before_ttm,which_promo,engagement,what_content_age,what_content_type,asp_ever,asp_ttm,arpu_monthly_ever,arpu_monthly_ttm,frequency_days_ever,frequency_days_ttm,hidden_class,tenure_months,target
876,A2T2KYIGVNRKA5,1,1.66,0,0.0,0,0.62,0,0.62,exclusively_pmd,one_time,exclusively_CAT,exclusively_movie_vod,1.66,0.0,0.05,0.0,0,0,inept,32.0,0
877,A30NDJZIMRQI5K,8,15.11,1,3.32,2,3.85,1,3.0,non_promo_user,one_time,exclusively_CAT,exclusively_movie_est,1.88,3.32,0.32,0.27,190,0,inept,47.0,1
878,A3KNQL3491QXZ0,44,192.09,20,92.33,20,88.65,11,46.04,engaged_pmd,engaged,predominantly_NR,predominantly_movie_vod,4.36,4.61,7.38,7.69,17,17,benevolent,26.0,1
879,A2GKNYHFRCBEOT,13,28.56,3,6.64,2,4.96,1,3.81,non_promo_user,moderate,exclusively_CAT,exclusively_movie_vod,2.19,2.21,0.41,0.55,153,47,inept,69.0,0
880,A13XK4WT8DYOPX,2,9.56,1,5.82,1,7.17,0,2.8,non_promo_user,one_time,exclusively_CAT,exclusively_movie_est,4.78,5.82,0.59,0.48,145,0,inept,16.0,0
881,A353YW9KEIVUM0,183,753.46,72,459.63,34,141.27,20,55.09,non_promo_user,engaged,predominantly_NR,predominantly_movie_est,4.11,6.38,11.77,38.3,10,4,hidden_committed,64.0,1
882,A3QSHMBNCT8MNK,3,12.48,0,0.0,0,3.65,0,3.65,non_promo_user,moderate,predominantly_NR,predominantly_movie_est,4.16,0.0,0.3,0.0,250,0,inept,41.0,0
883,A39FCHH62MOF5R,4,9.12,2,4.98,2,5.76,1,2.61,non_promo_user,moderate,exclusively_CAT,exclusively_movie_vod,2.28,2.49,0.48,0.41,174,96,inept,19.0,1
884,A19KNYJH4N1DEQ,1,2.91,1,2.91,3,8.73,0,0.0,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,2.91,2.91,0.72,0.72,0,0,inept,4.0,1
885,A1OSOD37CX0Z6L,1,2.07,0,0.0,0,1.03,0,1.03,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,2.07,0.0,0.08,0.0,0,0,inept,24.0,0
886,A1166G0G2LHSM8,3,8.73,0,0.0,0,1.43,0,1.43,non_promo_user,moderate,predominantly_NR,exclusively_movie_vod,2.91,0.0,0.11,0.0,118,0,inept,73.0,0
887,A2O9BQI5AR2FIE,1,1.24,0,0.0,0,1.23,12,14.88,non_promo_user,one_time,exclusively_CAT,exclusively_tv,1.24,0.0,0.1,0.0,0,0,inept,12.0,0
888,A1NDOK0WHQE15K,52,166.19,17,53.54,21,68.76,14,46.61,non_promo_user,engaged,exclusively_CAT,predominantly_movie_vod,3.19,3.14,5.73,4.46,16,21,benevolent,29.0,1
889,APUZ9IZEUBZHV,2,6.65,2,6.65,3,13.29,0,0.0,non_promo_user,moderate,predominantly_NR,exclusively_movie_vod,3.32,3.32,1.1,1.1,139,139,inept,6.0,1
